Intermediates,CO2_Fall_Off_Intermediate
O=C(O)C(O)(CO)C(=O)NC1(c2ccc(Cl)s2)CCCCC1;O=C(O)C(O)(NC1(c2ccc(Cl)s2)CCCCC1)C(=O)CO,O=C(NC1(c2ccc(Cl)s2)CCCCC1)C(O)CO;O=C(CO)C(O)NC1(c2ccc(Cl)s2)CCCCC1
O=C(O)c1c(NC(=O)C(O)(CO)C(=O)O)sc2c1CCCC2;O=C(O)c1c(NC(O)(C(=O)O)C(=O)CO)sc2c1CCCC2,O=C(O)c1c(NC(O)C(=O)CO)sc2c1CCCC2;O=C(O)c1c(NC(=O)C(O)CO)sc2c1CCCC2
O=C(O)C(O)(CS)C(=O)CS,O=C(CS)C(O)CS
CC(=O)OC1COC(n2cc(C(=O)C(O)(CS)C(=O)O)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)(C(=O)O)C(=O)CS)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(=O)C(O)CS)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)C(=O)CS)c3ccccc32)C(OC(C)=O)C1OC(C)=O
O=C(O)C(O)(CS)C(=O)CCc1cccs1;O=C(O)C(O)(CCc1cccs1)C(=O)CS,O=C(CCc1cccs1)C(O)CS;O=C(CS)C(O)CCc1cccs1
O=C(O)C(O)(CS)C(=O)Cc1ccc2ccccc2n1;O=C(O)C(O)(Cc1ccc2ccccc2n1)C(=O)CS,O=C(CS)C(O)Cc1ccc2ccccc2n1;O=C(Cc1ccc2ccccc2n1)C(O)CS
CC(C)N(O)C(O)(C(=O)O)C(=O)CS;CC(C)N(O)C(=O)C(O)(CS)C(=O)O,CC(C)N(O)C(O)C(=O)CS;CC(C)N(O)C(=O)C(O)CS
CCOC(=O)c1csc(C(C#N)C(=O)C(O)(CS)C(=O)O)n1;CCOC(=O)c1csc(C(C#N)C(O)(C(=O)O)C(=O)CS)n1,CCOC(=O)c1csc(C(C#N)C(O)C(=O)CS)n1;CCOC(=O)c1csc(C(C#N)C(=O)C(O)CS)n1
O=C(O)C(O)(CS)C(=O)NC1(c2ccc(Cl)s2)CCCCC1;O=C(O)C(O)(NC1(c2ccc(Cl)s2)CCCCC1)C(=O)CS,O=C(CS)C(O)NC1(c2ccc(Cl)s2)CCCCC1;O=C(NC1(c2ccc(Cl)s2)CCCCC1)C(O)CS
O=C(O)c1c(NC(=O)C(O)(CS)C(=O)O)sc2c1CCCC2;O=C(O)c1c(NC(O)(C(=O)O)C(=O)CS)sc2c1CCCC2,O=C(O)c1c(NC(=O)C(O)CS)sc2c1CCCC2;O=C(O)c1c(NC(O)C(=O)CS)sc2c1CCCC2
CC(=O)OC1COC(n2cc(C(=O)C(O)(C(=O)O)c3cn(C4OCC(OC(C)=O)C(OC(C)=O)C4OC(C)=O)c4ccccc34)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(=O)C(O)c3cn(C4OCC(OC(C)=O)C(OC(C)=O)C4OC(C)=O)c4ccccc34)c3ccccc32)C(OC(C)=O)C1OC(C)=O
CC(=O)OC1COC(n2cc(C(=O)C(O)(CCc3cccs3)C(=O)O)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)(C(=O)O)C(=O)CCc3cccs3)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(=O)C(O)CCc3cccs3)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)C(=O)CCc3cccs3)c3ccccc32)C(OC(C)=O)C1OC(C)=O
CC(=O)OC1COC(n2cc(C(O)(C(=O)O)C(=O)Cc3ccc4ccccc4n3)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(=O)C(O)(Cc3ccc4ccccc4n3)C(=O)O)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(=O)C(O)Cc3ccc4ccccc4n3)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)C(=O)Cc3ccc4ccccc4n3)c3ccccc32)C(OC(C)=O)C1OC(C)=O
CC(=O)OC1COC(n2cc(C(O)(C(=O)O)C(=O)N(O)C(C)C)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(=O)C(O)(C(=O)O)N(O)C(C)C)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(=O)C(O)N(O)C(C)C)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)C(=O)N(O)C(C)C)c3ccccc32)C(OC(C)=O)C1OC(C)=O
CCOC(=O)c1csc(C(C#N)C(O)(C(=O)O)C(=O)c2cn(C3OCC(OC(C)=O)C(OC(C)=O)C3OC(C)=O)c3ccccc23)n1;CCOC(=O)c1csc(C(C#N)C(=O)C(O)(C(=O)O)c2cn(C3OCC(OC(C)=O)C(OC(C)=O)C3OC(C)=O)c3ccccc23)n1,CCOC(=O)c1csc(C(C#N)C(O)C(=O)c2cn(C3OCC(OC(C)=O)C(OC(C)=O)C3OC(C)=O)c3ccccc23)n1;CCOC(=O)c1csc(C(C#N)C(=O)C(O)c2cn(C3OCC(OC(C)=O)C(OC(C)=O)C3OC(C)=O)c3ccccc23)n1
CC(=O)OC1COC(n2cc(C(=O)C(O)(NC3(c4ccc(Cl)s4)CCCCC3)C(=O)O)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)(C(=O)O)C(=O)NC3(c4ccc(Cl)s4)CCCCC3)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(O)C(=O)NC3(c4ccc(Cl)s4)CCCCC3)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(=O)C(O)NC3(c4ccc(Cl)s4)CCCCC3)c3ccccc32)C(OC(C)=O)C1OC(C)=O
CC(=O)OC1COC(n2cc(C(O)(C(=O)O)C(=O)Nc3sc4c(c3C(=O)O)CCCC4)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(=O)C(O)(Nc3sc4c(c3C(=O)O)CCCC4)C(=O)O)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(=O)C(O)Nc3sc4c(c3C(=O)O)CCCC4)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(O)C(=O)Nc3sc4c(c3C(=O)O)CCCC4)c3ccccc32)C(OC(C)=O)C1OC(C)=O
O=C(O)C(O)(CCc1cccs1)C(=O)CCc1cccs1,O=C(CCc1cccs1)C(O)CCc1cccs1
O=C(O)C(O)(CCc1cccs1)C(=O)Cc1ccc2ccccc2n1;O=C(O)C(O)(Cc1ccc2ccccc2n1)C(=O)CCc1cccs1,O=C(CCc1cccs1)C(O)Cc1ccc2ccccc2n1;O=C(Cc1ccc2ccccc2n1)C(O)CCc1cccs1
CC(C)N(O)C(O)(C(=O)O)C(=O)CCc1cccs1;CC(C)N(O)C(=O)C(O)(CCc1cccs1)C(=O)O,CC(C)N(O)C(=O)C(O)CCc1cccs1;CC(C)N(O)C(O)C(=O)CCc1cccs1
CCOC(=O)c1csc(C(C#N)C(=O)C(O)(CCc2cccs2)C(=O)O)n1;CCOC(=O)c1csc(C(C#N)C(O)(C(=O)O)C(=O)CCc2cccs2)n1,CCOC(=O)c1csc(C(C#N)C(O)C(=O)CCc2cccs2)n1;CCOC(=O)c1csc(C(C#N)C(=O)C(O)CCc2cccs2)n1
O=C(O)C(O)(NC1(c2ccc(Cl)s2)CCCCC1)C(=O)CCc1cccs1;O=C(O)C(O)(CCc1cccs1)C(=O)NC1(c2ccc(Cl)s2)CCCCC1,O=C(NC1(c2ccc(Cl)s2)CCCCC1)C(O)CCc1cccs1;O=C(CCc1cccs1)C(O)NC1(c2ccc(Cl)s2)CCCCC1
O=C(O)c1c(NC(O)(C(=O)O)C(=O)CCc2cccs2)sc2c1CCCC2;O=C(O)c1c(NC(=O)C(O)(CCc2cccs2)C(=O)O)sc2c1CCCC2,O=C(O)c1c(NC(=O)C(O)CCc2cccs2)sc2c1CCCC2;O=C(O)c1c(NC(O)C(=O)CCc2cccs2)sc2c1CCCC2
O=C(O)C(O)(Cc1ccc2ccccc2n1)C(=O)Cc1ccc2ccccc2n1,O=C(Cc1ccc2ccccc2n1)C(O)Cc1ccc2ccccc2n1
CC(C)N(O)C(O)(C(=O)O)C(=O)Cc1ccc2ccccc2n1;CC(C)N(O)C(=O)C(O)(Cc1ccc2ccccc2n1)C(=O)O,CC(C)N(O)C(O)C(=O)Cc1ccc2ccccc2n1;CC(C)N(O)C(=O)C(O)Cc1ccc2ccccc2n1
CCOC(=O)c1csc(C(C#N)C(O)(C(=O)O)C(=O)Cc2ccc3ccccc3n2)n1;CCOC(=O)c1csc(C(C#N)C(=O)C(O)(Cc2ccc3ccccc3n2)C(=O)O)n1,CCOC(=O)c1csc(C(C#N)C(O)C(=O)Cc2ccc3ccccc3n2)n1;CCOC(=O)c1csc(C(C#N)C(=O)C(O)Cc2ccc3ccccc3n2)n1
O=C(O)C(O)(Cc1ccc2ccccc2n1)C(=O)NC1(c2ccc(Cl)s2)CCCCC1;O=C(O)C(O)(NC1(c2ccc(Cl)s2)CCCCC1)C(=O)Cc1ccc2ccccc2n1,O=C(NC1(c2ccc(Cl)s2)CCCCC1)C(O)Cc1ccc2ccccc2n1;O=C(Cc1ccc2ccccc2n1)C(O)NC1(c2ccc(Cl)s2)CCCCC1
O=C(O)c1c(NC(O)(C(=O)O)C(=O)Cc2ccc3ccccc3n2)sc2c1CCCC2;O=C(O)c1c(NC(=O)C(O)(Cc2ccc3ccccc3n2)C(=O)O)sc2c1CCCC2,O=C(O)c1c(NC(=O)C(O)Cc2ccc3ccccc3n2)sc2c1CCCC2;O=C(O)c1c(NC(O)C(=O)Cc2ccc3ccccc3n2)sc2c1CCCC2
CC(C)N(O)C(=O)C(O)(C(=O)O)N(O)C(C)C,CC(C)N(O)C(=O)C(O)N(O)C(C)C
CCOC(=O)c1csc(C(C#N)C(=O)C(O)(C(=O)O)N(O)C(C)C)n1;CCOC(=O)c1csc(C(C#N)C(O)(C(=O)O)C(=O)N(O)C(C)C)n1,CCOC(=O)c1csc(C(C#N)C(O)C(=O)N(O)C(C)C)n1;CCOC(=O)c1csc(C(C#N)C(=O)C(O)N(O)C(C)C)n1
CC(C)N(O)C(O)(C(=O)O)C(=O)NC1(c2ccc(Cl)s2)CCCCC1;CC(C)N(O)C(=O)C(O)(NC1(c2ccc(Cl)s2)CCCCC1)C(=O)O,CC(C)N(O)C(O)C(=O)NC1(c2ccc(Cl)s2)CCCCC1;CC(C)N(O)C(=O)C(O)NC1(c2ccc(Cl)s2)CCCCC1
CC(C)N(O)C(O)(C(=O)O)C(=O)Nc1sc2c(c1C(=O)O)CCCC2;CC(C)N(O)C(=O)C(O)(Nc1sc2c(c1C(=O)O)CCCC2)C(=O)O,CC(C)N(O)C(=O)C(O)Nc1sc2c(c1C(=O)O)CCCC2;CC(C)N(O)C(O)C(=O)Nc1sc2c(c1C(=O)O)CCCC2
CCOC(=O)c1csc(C(C#N)C(=O)C(O)(C(=O)O)C(C#N)c2nc(C(=O)OCC)cs2)n1,CCOC(=O)c1csc(C(C#N)C(=O)C(O)C(C#N)c2nc(C(=O)OCC)cs2)n1
CCOC(=O)c1csc(C(C#N)C(=O)C(O)(NC2(c3ccc(Cl)s3)CCCCC2)C(=O)O)n1;CCOC(=O)c1csc(C(C#N)C(O)(C(=O)O)C(=O)NC2(c3ccc(Cl)s3)CCCCC2)n1,CCOC(=O)c1csc(C(C#N)C(=O)C(O)NC2(c3ccc(Cl)s3)CCCCC2)n1;CCOC(=O)c1csc(C(C#N)C(O)C(=O)NC2(c3ccc(Cl)s3)CCCCC2)n1
CCOC(=O)c1csc(C(C#N)C(=O)C(O)(Nc2sc3c(c2C(=O)O)CCCC3)C(=O)O)n1;CCOC(=O)c1csc(C(C#N)C(O)(C(=O)O)C(=O)Nc2sc3c(c2C(=O)O)CCCC3)n1,CCOC(=O)c1csc(C(C#N)C(=O)C(O)Nc2sc3c(c2C(=O)O)CCCC3)n1;CCOC(=O)c1csc(C(C#N)C(O)C(=O)Nc2sc3c(c2C(=O)O)CCCC3)n1
O=C(O)C(O)(NC1(c2ccc(Cl)s2)CCCCC1)C(=O)NC1(c2ccc(Cl)s2)CCCCC1,O=C(NC1(c2ccc(Cl)s2)CCCCC1)C(O)NC1(c2ccc(Cl)s2)CCCCC1
O=C(O)c1c(NC(=O)C(O)(NC2(c3ccc(Cl)s3)CCCCC2)C(=O)O)sc2c1CCCC2;O=C(O)c1c(NC(O)(C(=O)O)C(=O)NC2(c3ccc(Cl)s3)CCCCC2)sc2c1CCCC2,O=C(O)c1c(NC(O)C(=O)NC2(c3ccc(Cl)s3)CCCCC2)sc2c1CCCC2;O=C(O)c1c(NC(=O)C(O)NC2(c3ccc(Cl)s3)CCCCC2)sc2c1CCCC2
O=C(O)c1c(NC(=O)C(O)(Nc2sc3c(c2C(=O)O)CCCC3)C(=O)O)sc2c1CCCC2,O=C(O)c1c(NC(=O)C(O)Nc2sc3c(c2C(=O)O)CCCC3)sc2c1CCCC2
