Intermediates,CO2_Fall_Off_Intermediate
O=C(O)CCC(=O)C(O)(Cc1cnc[nH]1)C(=O)O;O=C(O)CCC(O)(C(=O)O)C(=O)Cc1cnc[nH]1,O=C(O)CCC(=O)C(O)Cc1cnc[nH]1;O=C(O)CCC(O)C(=O)Cc1cnc[nH]1
CC(O)(C(=O)O)C(=O)Cc1cnc[nH]1;CC(=O)C(O)(Cc1cnc[nH]1)C(=O)O,CC(O)C(=O)Cc1cnc[nH]1;CC(=O)C(O)Cc1cnc[nH]1
O=C(O)CCCCCC(O)(C(=O)O)C(=O)Cc1cnc[nH]1;O=C(O)CCCCCC(=O)C(O)(Cc1cnc[nH]1)C(=O)O,O=C(O)CCCCCC(O)C(=O)Cc1cnc[nH]1;O=C(O)CCCCCC(=O)C(O)Cc1cnc[nH]1
O=C(O)C(O)(Cc1cnc[nH]1)C(=O)CC(O)CO;O=C(O)C(O)(CC(O)CO)C(=O)Cc1cnc[nH]1,O=C(CC(O)CO)C(O)Cc1cnc[nH]1;O=C(Cc1cnc[nH]1)C(O)CC(O)CO
O=C(O)C(O)(Cc1cnc[nH]1)C(=O)c1ccccc1;O=C(O)C(O)(C(=O)Cc1cnc[nH]1)c1ccccc1,O=C(c1ccccc1)C(O)Cc1cnc[nH]1;O=C(Cc1cnc[nH]1)C(O)c1ccccc1
O=C(O)C(O)(Cc1cnc[nH]1)C(=O)c1c[nH]c2ccccc12;O=C(O)C(O)(C(=O)Cc1cnc[nH]1)c1c[nH]c2ccccc12,O=C(Cc1cnc[nH]1)C(O)c1c[nH]c2ccccc12;O=C(c1c[nH]c2ccccc12)C(O)Cc1cnc[nH]1
O=C(O)CC(O)(C(=O)O)C(=O)Cc1cnc[nH]1;O=C(O)CC(=O)C(O)(Cc1cnc[nH]1)C(=O)O,O=C(O)CC(O)C(=O)Cc1cnc[nH]1;O=C(O)CC(=O)C(O)Cc1cnc[nH]1
O=C(O)C(O)(Cc1cnc[nH]1)C(=O)CO;O=C(O)C(O)(CO)C(=O)Cc1cnc[nH]1,O=C(Cc1cnc[nH]1)C(O)CO;O=C(CO)C(O)Cc1cnc[nH]1
O=C(O)C(O)(CS)C(=O)Cc1cnc[nH]1;O=C(O)C(O)(Cc1cnc[nH]1)C(=O)CS,O=C(Cc1cnc[nH]1)C(O)CS;O=C(CS)C(O)Cc1cnc[nH]1
CC(=O)OC1COC(n2cc(C(O)(C(=O)O)C(=O)Cc3cnc[nH]3)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(=O)C(O)(Cc3cnc[nH]3)C(=O)O)c3ccccc32)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1COC(n2cc(C(O)C(=O)Cc3cnc[nH]3)c3ccccc32)C(OC(C)=O)C1OC(C)=O;CC(=O)OC1COC(n2cc(C(=O)C(O)Cc3cnc[nH]3)c3ccccc32)C(OC(C)=O)C1OC(C)=O
